epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,846.307,0.88709,0.55417,1.0573,0.64253,0.53076,0.55856,0.20958,2.5264,1.58513,2.33647,0.000137113,0.000137113,0.000137113
85,855.089,0.82254,0.53773,1.03106,0.65145,0.51409,0.5496,0.21597,2.49174,1.59219,2.31156,0.0001295,0.0001295,0.0001295
86,865.326,0.84951,0.51965,1.04152,0.64356,0.53128,0.54977,0.21179,2.45665,1.56316,2.26246,0.000121887,0.000121887,0.000121887
87,876.086,0.85196,0.54065,1.04471,0.61008,0.5478,0.56526,0.20897,2.44919,1.49163,2.24204,0.000114273,0.000114273,0.000114273
88,885.111,0.82223,0.52919,1.03092,0.65473,0.51478,0.54554,0.20861,2.46401,1.47438,2.26252,0.00010666,0.00010666,0.00010666
89,895.324,0.87111,0.53703,1.04995,0.64768,0.53802,0.54608,0.20791,2.4842,1.49913,2.2844,9.90472e-05,9.90472e-05,9.90472e-05
90,905.523,0.80494,0.5137,1.01486,0.64239,0.5304,0.53966,0.20547,2.46267,1.49728,2.27551,9.14341e-05,9.14341e-05,9.14341e-05
91,916.276,0.80708,0.49348,1.03533,0.73375,0.54826,0.56735,0.20525,2.50462,1.53898,2.32755,8.3821e-05,8.3821e-05,8.3821e-05
92,926.308,0.7551,0.46505,0.9874,0.78657,0.47981,0.54839,0.20196,2.5168,1.49732,2.3247,7.62079e-05,7.62079e-05,7.62079e-05
93,936.974,0.7279,0.45308,0.96957,0.7819,0.48592,0.5662,0.19975,2.50803,1.50968,2.31419,6.85948e-05,6.85948e-05,6.85948e-05
94,945.1,0.73538,0.44459,0.97427,0.78075,0.47393,0.55447,0.19671,2.50499,1.51587,2.33594,6.09817e-05,6.09817e-05,6.09817e-05
95,955.01,0.71981,0.43708,0.96894,0.77276,0.47393,0.54462,0.19808,2.50213,1.47294,2.35812,5.33686e-05,5.33686e-05,5.33686e-05
96,964.966,0.70648,0.43709,0.95935,0.78591,0.47439,0.54815,0.19613,2.49392,1.47066,2.35883,4.57555e-05,4.57555e-05,4.57555e-05
97,973.418,0.68225,0.41346,0.94963,0.78397,0.47439,0.55291,0.2008,2.4786,1.47545,2.33522,3.81424e-05,3.81424e-05,3.81424e-05
98,983.524,0.68634,0.41804,0.9463,0.7972,0.49001,0.55762,0.20091,2.46327,1.50083,2.33159,3.05293e-05,3.05293e-05,3.05293e-05
99,993.194,0.71626,0.43007,0.95699,0.79447,0.48869,0.55628,0.19856,2.46115,1.50659,2.33766,2.29162e-05,2.29162e-05,2.29162e-05
100,1002.09,0.70609,0.44502,0.95784,0.78743,0.49151,0.55936,0.2027,2.47019,1.49966,2.36138,1.53031e-05,1.53031e-05,1.53031e-05
